Sex,Length,Diameter,Height,Whole weightShucked weight,Viscera weight,Shell weight,Rings,Age
M,0.455,0.365,0.095,0.514,0.225,0.101,0.150,15
M,0.350,0.265,0.090,0.226,0.100,0.049,0.070,7
F,0.530,0.420,0.135,0.677,0.257,0.142,0.210,9
M,0.440,0.365,0.125,0.516,0.216,0.114,0.155,10
I,0.330,0.255,0.080,0.205,0.090,0.040,0.055,7
I,0.425,0.300,0.095,0.352,0.141,0.078,0.120,8
F,0.530,0.415,0.150,0.778,0.237,0.142,0.330,20
F,0.545,0.425,0.125,0.768,0.294,0.150,0.260,16
M,0.475,0.370,0.125,0.510,0.217,0.113,0.165,9
F,0.550,0.440,0.150,0.895,0.315,0.151,0.320,19
F,0.525,0.380,0.140,0.607,0.194,0.148,0.210,14
M,0.430,0.350,0.110,0.406,0.168,0.081,0.135,10
M,0.490,0.380,0.135,0.542,0.218,0.095,0.190,11
F,0.535,0.405,0.145,0.685,0.273,0.171,0.205,10
F,0.470,0.355,0.100,0.476,0.168,0.081,0.185,10
M,0.500,0.400,0.130,0.665,0.258,0.133,0.240,12
I,0.355,0.280,0.085,0.291,0.095,0.040,0.115,7
F,0.440,0.340,0.100,0.451,0.188,0.087,0.130,10
M,0.365,0.295,0.080,0.256,0.097,0.043,0.100,7
M,0.450,0.320,0.100,0.381,0.171,0.075,0.115,9
M,0.355,0.280,0.095,0.246,0.096,0.062,0.075,11
I,0.380,0.275,0.100,0.226,0.080,0.049,0.085,10
F,0.565,0.440,0.155,0.940,0.428,0.214,0.270,12
F,0.550,0.415,0.135,0.764,0.318,0.210,0.200,9
F,0.615,0.480,0.165,1.162,0.513,0.301,0.305,10
F,0.560,0.440,0.140,0.929,0.383,0.188,0.300,11
F,0.580,0.450,0.185,0.996,0.395,0.272,0.285,11
M,0.590,0.445,0.140,0.931,0.356,0.234,0.280,12
M,0.605,0.475,0.180,0.937,0.394,0.219,0.295,15
M,0.575,0.425,0.140,0.864,0.393,0.227,0.200,11
M,0.580,0.470,0.165,0.998,0.394,0.242,0.330,10
F,0.680,0.560,0.165,1.639,0.606,0.281,0.460,15
M,0.665,0.525,0.165,1.338,0.552,0.358,0.350,18
F,0.680,0.550,0.175,1.798,0.815,0.393,0.455,19
F,0.705,0.550,0.200,1.710,0.633,0.412,0.490,13
M,0.465,0.355,0.105,0.480,0.227,0.124,0.125,8
F,0.540,0.475,0.155,1.217,0.531,0.308,0.340,16
F,0.450,0.355,0.105,0.523,0.237,0.117,0.145,8
F,0.575,0.445,0.135,0.883,0.381,0.204,0.260,11
M,0.355,0.290,0.090,0.328,0.134,0.086,0.090,9
F,0.450,0.335,0.105,0.425,0.187,0.091,0.115,9
F,0.550,0.425,0.135,0.852,0.362,0.196,0.270,14
I,0.240,0.175,0.045,0.070,0.032,0.024,0.020,5
I,0.205,0.150,0.055,0.042,0.026,0.015,0.012,5
I,0.210,0.150,0.050,0.042,0.018,0.013,0.015,4
I,0.390,0.295,0.095,0.203,0.088,0.045,0.075,7
M,0.470,0.370,0.120,0.580,0.293,0.227,0.140,9
F,0.460,0.375,0.120,0.461,0.178,0.110,0.150,7
I,0.325,0.245,0.070,0.161,0.076,0.026,0.045,6
F,0.525,0.425,0.160,0.836,0.355,0.214,0.245,9
I,0.520,0.410,0.120,0.595,0.239,0.111,0.190,8
M,0.400,0.320,0.095,0.303,0.134,0.060,0.100,7
M,0.485,0.360,0.130,0.542,0.260,0.096,0.160,10
F,0.470,0.360,0.120,0.478,0.211,0.106,0.150,10
M,0.405,0.310,0.100,0.385,0.173,0.092,0.110,7
